date_profiled,tag_number,live_weight,breed,color,gender,teeth,checked_by_vet,vaccinated,district
2021.06.28,234,165,Deshal,Black and Grey,Male,2,Yes,Yes,Nilphamari
2021.06.28,235,194,Deshal,Black and White,Male,4,Yes,Yes,Nilphamari
2021.06.28,236,192,Deshal,Red,Male,4,Yes,Yes,Nilphamari
2021.06.28,237,186,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,238,200,Deshal,Black and Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,239,173,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,280,215,Deshal,Grey and White,Male,4,Yes,Yes,Nilphamari
2021.06.28,281,244,Deshal,Brown and Grey,Male,2,Yes,Yes,Nilphamari
2021.06.28,284,233,Deshal,Black and White,Male,4,Yes,Yes,Nilphamari
2021.06.28,285,232,Deshal,Black and Red,Male,2,Yes,Yes,Nilphamari
2021.06.28,287,184,Deshal,Black,Male,2,Yes,Yes,Nilphamari
2021.06.28,288,212,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,289,197,Deshal,Brown,Male,2,Yes,Yes,Nilphamari
2021.06.28,292,198,Deshal,Black and Brown,Male,2,Yes,Yes,Nilphamari
